text,label
"I have been experiencing increased urination, constant thirst, and unexpected weight loss despite normal appetite.",Diabetes Mellitus
"I'm feeling sharp chest pain that gets worse when I breathe deeply or cough, along with shortness of breath and fever.",Pneumonia
"I've been having severe headaches, confusion, nausea and vomiting. My vision is also blurry.",Meningitis
"I have a persistent dry cough, shortness of breath, especially during physical activities, and wheezing when I exhale.",Asthma
"My joints are swollen and painful, especially in the morning. I feel stiff for more than an hour after waking up.",Rheumatoid Arthritis
"I've been experiencing heartburn, acid regurgitation, and difficulty swallowing. It gets worse after eating.",Gastroesophageal Reflux Disease (GERD)
"I have redness and itching on my skin with raised, red bumps that come and go.",Hives
"I've been feeling extremely tired, have dark urine, yellowing of my eyes and skin, and abdominal pain.",Hepatitis
"I've had diarrhea, abdominal cramping, and bloating that gets worse after eating certain foods containing gluten.",Celiac Disease
"I've been experiencing dizziness, ringing in my ears, and hearing loss in one ear.",Meniere's Disease
"I've had a sore throat, difficulty swallowing, swollen tonsils with white patches, and fever.",Strep Throat
"I've been experiencing palpitations, shortness of breath, chest discomfort, and dizziness.",Atrial Fibrillation
"I have a painful, blistering rash in a band on one side of my body along with fever and headache.",Shingles
"I've been having frequent, urgent urination with burning sensation and cloudy, strong-smelling urine.",Urinary Tract Infection
"My hands and feet feel numb and tingling, I'm often thirsty, have blurry vision, and wounds heal slowly.",Diabetes Mellitus
"I've been experiencing pain and stiffness in my lower back and hips, especially in the morning or after inactivity.",Ankylosing Spondylitis
"I have severe abdominal pain that radiates to my back, along with nausea, vomiting, and fever.",Pancreatitis
"I've been having recurrent episodes of severe headache on one side of my head, with nausea and sensitivity to light.",Migraine
"I have a persistent cough with blood-tinged sputum, chest pain, weight loss, and night sweats.",Tuberculosis
"I've been experiencing memory loss, confusion, difficulty completing familiar tasks, and changes in mood and personality.",Alzheimer's Disease
